Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_56_333,VPWR,li1,159.1600,165.9200,1.799943
FILLER_56_321,VPWR,li1,155.9400,165.9200,1.799943
FILLER_56_309,VPWR,li1,150.4200,165.9200,1.799943
FILLER_56_307,VPWR,li1,146.9700,165.9200,1.799943
FILLER_56_301,VPWR,li1,145.3600,165.9200,1.799943
FILLER_56_289,VPWR,li1,141.2200,165.9200,1.799943
FILLER_56_281,VPWR,li1,136.1600,165.9200,1.799943
FILLER_56_279,VPWR,li1,134.0900,165.9200,1.799943
FILLER_56_271,VPWR,li1,132.0200,165.9200,1.799943
FILLER_56_259,VPWR,li1,127.4200,165.9200,1.799943
FILLER_56_253,VPWR,li1,122.3600,165.9200,1.799943
FILLER_56_249,VPWR,li1,120.7500,165.9200,1.799943
FILLER_56_246,VPWR,li1,118.9100,165.9200,1.799943
FILLER_56_242,VPWR,li1,117.7600,165.9200,1.799943
FILLER_56_230,VPWR,li1,114.0800,165.9200,1.799944
FILLER_56_225,VPWR,li1,109.4800,165.9200,1.799944
FILLER_56_216,VPWR,li1,105.8000,165.9200,1.799945
FILLER_56_203,VPWR,li1,99.1300,165.9200,1.799947
FILLER_56_197,VPWR,li1,96.6000,165.9200,1.799948
FILLER_56_187,VPWR,li1,91.7700,165.9200,1.799951
FILLER_56_181,VPWR,li1,90.1600,165.9200,1.799951
FILLER_56_169,VPWR,li1,86.0200,165.9200,1.799953
FILLER_56_167,VPWR,li1,82.5700,165.9200,1.799955
FILLER_56_161,VPWR,li1,80.9600,165.9200,1.799955
FILLER_56_153,VPWR,li1,76.8200,165.9200,1.799957
FILLER_56_141,VPWR,li1,73.1400,165.9200,1.799959
FILLER_56_139,VPWR,li1,69.6900,165.9200,1.799961
FILLER_56_131,VPWR,li1,67.6200,165.9200,1.799962
FILLER_56_119,VPWR,li1,63.0200,165.9200,1.799965
FILLER_56_113,VPWR,li1,57.9600,165.9200,1.799968
FILLER_56_111,VPWR,li1,56.8100,165.9200,1.799970
FILLER_56_105,VPWR,li1,55.2000,165.9200,1.799970
FILLER_56_98,VPWR,li1,51.2900,165.9200,1.799972
FILLER_56_93,VPWR,li1,48.7600,165.9200,1.799974
FILLER_56_85,VPWR,li1,46.4600,165.9200,1.799976
FILLER_56_81,VPWR,li1,43.4700,165.9200,1.799978
FILLER_56_69,VPWR,li1,40.0200,165.9200,1.799980
FILLER_56_57,VPWR,li1,34.5000,165.9200,1.799984
FILLER_56_53,VPWR,li1,30.5900,165.9200,1.799987
FILLER_56_41,VPWR,li1,27.1400,165.9200,1.799989
FILLER_56_29,VPWR,li1,21.6200,165.9200,1.799993
FILLER_56_27,VPWR,li1,18.1700,165.9200,1.799993
FILLER_56_15,VPWR,li1,15.1800,165.9200,1.799993
FILLER_56_3,VPWR,li1,9.6600,165.9200,1.799993
FILLER_55_334,VPWR,li1,159.3900,160.4800,1.799690
FILLER_55_328,VPWR,li1,157.7800,160.4800,1.799690
FILLER_55_316,VPWR,li1,153.6400,160.4800,1.799690
FILLER_55_281,VPWR,li1,135.0100,160.4800,1.799697
FILLER_55_272,VPWR,li1,131.1000,160.4800,1.799700
FILLER_55_265,VPWR,li1,127.8800,160.4800,1.799703
FILLER_55_216,VPWR,li1,106.7200,160.4800,1.799724
FILLER_55_184,VPWR,li1,90.3900,160.4800,1.799753
FILLER_55_173,VPWR,li1,85.3300,160.4800,1.799762
FILLER_55_169,VPWR,li1,84.1800,160.4800,1.799766
FILLER_55_165,VPWR,li1,82.1100,160.4800,1.799770
FILLER_55_122,VPWR,li1,62.3300,160.4800,1.799821
FILLER_55_113,VPWR,li1,58.4200,160.4800,1.799828
FILLER_55_96,VPWR,li1,50.1400,160.4800,1.799858
FILLER_55_78,VPWR,li1,41.8600,160.4800,1.799885
FILLER_55_71,VPWR,li1,38.4100,160.4800,1.799893
FILLER_55_57,VPWR,li1,31.9700,160.4800,1.799917
FILLER_55_55,VPWR,li1,31.0500,160.4800,1.799925
FILLER_55_51,VPWR,li1,29.9000,160.4800,1.799925
FILLER_55_39,VPWR,li1,26.2200,160.4800,1.799939
FILLER_55_27,VPWR,li1,20.7000,160.4800,1.799961
FILLER_55_15,VPWR,li1,15.1800,160.4800,1.799961
FILLER_55_3,VPWR,li1,9.6600,160.4800,1.799961
FILLER_54_333,VPWR,li1,159.1600,160.4800,1.799690
FILLER_54_321,VPWR,li1,155.9400,160.4800,1.799690
FILLER_54_309,VPWR,li1,150.4200,160.4800,1.799690
FILLER_54_300,VPWR,li1,145.3600,160.4800,1.799691
FILLER_54_297,VPWR,li1,142.3700,160.4800,1.799693
FILLER_54_291,VPWR,li1,140.7600,160.4800,1.799693
FILLER_54_283,VPWR,li1,136.1600,160.4800,1.799697
FILLER_54_267,VPWR,li1,128.5700,160.4800,1.799701
FILLER_54_253,VPWR,li1,123.7400,160.4800,1.799706
FILLER_54_251,VPWR,li1,121.2100,160.4800,1.799710
FILLER_54_241,VPWR,li1,117.0700,160.4800,1.799712
FILLER_54_233,VPWR,li1,113.3900,160.4800,1.799717
FILLER_54_228,VPWR,li1,110.8600,160.4800,1.799719
FILLER_54_221,VPWR,li1,107.4100,160.4800,1.799724
FILLER_54_209,VPWR,li1,104.4200,160.4800,1.799727
FILLER_54_197,VPWR,li1,98.9000,160.4800,1.799735
FILLER_54_192,VPWR,li1,94.7600,160.4800,1.799743
FILLER_54_165,VPWR,li1,82.8000,160.4800,1.799766
FILLER_54_160,VPWR,li1,79.5800,160.4800,1.799776
FILLER_54_147,VPWR,li1,73.3700,160.4800,1.799790
FILLER_54_143,VPWR,li1,72.2200,160.4800,1.799790
FILLER_54_139,VPWR,li1,69.6900,160.4800,1.799796
FILLER_54_131,VPWR,li1,67.6200,160.4800,1.799803
FILLER_54_111,VPWR,li1,58.4200,160.4800,1.799828
FILLER_54_99,VPWR,li1,53.8200,160.4800,1.799841
FILLER_54_93,VPWR,li1,48.9900,160.4800,1.799858
FILLER_54_85,VPWR,li1,46.4600,160.4800,1.799865
FILLER_54_80,VPWR,li1,43.2400,160.4800,1.799877
FILLER_54_68,VPWR,li1,39.5600,160.4800,1.799893
FILLER_54_53,VPWR,li1,31.2800,160.4800,1.799925
FILLER_54_41,VPWR,li1,27.1400,160.4800,1.799939
FILLER_54_29,VPWR,li1,21.6200,160.4800,1.799961
FILLER_54_27,VPWR,li1,18.1700,160.4800,1.799961
FILLER_54_15,VPWR,li1,15.1800,160.4800,1.799961
FILLER_54_3,VPWR,li1,9.6600,160.4800,1.799961
FILLER_53_332,VPWR,li1,158.9300,155.0400,1.799746
FILLER_53_320,VPWR,li1,155.4800,155.0400,1.799746
FILLER_53_287,VPWR,li1,137.7700,155.0400,1.799752
FILLER_53_281,VPWR,li1,136.1600,155.0400,1.799752
FILLER_53_278,VPWR,li1,133.8600,155.0400,1.799754
FILLER_53_270,VPWR,li1,131.5600,155.0400,1.799755
FILLER_53_258,VPWR,li1,126.9600,155.0400,1.799759
FILLER_53_243,VPWR,li1,120.0600,155.0400,1.799764
FILLER_53_231,VPWR,li1,114.5400,155.0400,1.799770
FILLER_53_223,VPWR,li1,108.3300,155.0400,1.799779
FILLER_53_205,VPWR,li1,100.0500,155.0400,1.799788
FILLER_53_177,VPWR,li1,87.1700,155.0400,1.799807
FILLER_53_169,VPWR,li1,85.1000,155.0400,1.799811
FILLER_53_164,VPWR,li1,81.1900,155.0400,1.799818
FILLER_53_152,VPWR,li1,78.2000,155.0400,1.799825
FILLER_53_142,VPWR,li1,71.3000,155.0400,1.799838
FILLER_53_134,VPWR,li1,69.0000,155.0400,1.799844
FILLER_53_113,VPWR,li1,58.1900,155.0400,1.799871
FILLER_53_106,VPWR,li1,55.6600,155.0400,1.799877
FILLER_53_93,VPWR,li1,49.6800,155.0400,1.799891
FILLER_53_81,VPWR,li1,45.5400,155.0400,1.799900
FILLER_53_69,VPWR,li1,40.0200,155.0400,1.799919
FILLER_53_57,VPWR,li1,34.5000,155.0400,1.799933
FILLER_53_55,VPWR,li1,31.0500,155.0400,1.799943
